,userId,movieId,title,genres,rating
2371,43,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.0
4856,43,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,0.5
9377,43,316,Stargate (1994),Action|Adventure|Sci-Fi,3.0
20385,43,720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy,3.5
29178,43,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,4.5
34183,43,1283,High Noon (1952),Drama|Western,5.0
46010,43,2028,Saving Private Ryan (1998),Action|Drama|War,3.0
47281,43,2108,L.A. Story (1991),Comedy|Romance,2.5
47504,43,2116,"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy,3.0
47649,43,2125,Ever After: A Cinderella Story (1998),Comedy|Drama|Romance,2.5
50286,43,2340,Meet Joe Black (1998),Romance,1.5
51182,43,2396,Shakespeare in Love (1998),Comedy|Drama|Romance,3.0
53405,43,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,3.5
54968,43,2687,Tarzan (1999),Adventure|Animation|Children|Drama,2.0
56434,43,2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery,4.5
57016,43,2797,Big (1988),Comedy|Drama|Fantasy|Romance,5.0
60782,43,3095,"Grapes of Wrath, The (1940)",Drama,5.0
63123,43,3354,Mission to Mars (2000),Sci-Fi,2.0
68519,43,3988,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),Children|Comedy|Fantasy,2.5
75714,43,5218,Ice Age (2002),Adventure|Animation|Children|Comedy,3.5
76361,43,5377,About a Boy (2002),Comedy|Drama|Romance,3.5
80816,43,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,2.0
88198,43,30749,Hotel Rwanda (2004),Drama|War,4.0
